number,control_identifier,control_name,control_text
703,SA-10(6),"Developer Configuration Management | Trusted Distribution","Require the developer of the system, system component, or system service to execute procedures for ensuring that security-relevant hardware, software, and firmware updates distributed to the organization are exactly as specified by the master copies."
704,SA-10(7),"Developer Configuration Management | Security and Privacy Representatives","Require [Assignment: organization-defined security and privacy representatives] to be included in the [Assignment: organization-defined configuration change management and control process]."
705,SA-11,"Developer Testing and Evaluation","Require the developer of the system, system component, or system service, at all post-design stages of the system development life cycle, to:
a. Develop and implement a plan for ongoing security and privacy control assessments;
b. Perform [Selection (one or more): unit; integration; system; regression] testing/evaluation [Assignment: organization-defined frequency] at [Assignment: organization-defined depth and coverage];
c. Produce evidence of the execution of the assessment plan and the results of the testing and evaluation;
d. Implement a verifiable flaw remediation process; and
e. Correct flaws identified during testing and evaluation."
706,SA-11(1),"Developer Testing and Evaluation | Static Code Analysis","Require the developer of the system, system component, or system service to employ static code analysis tools to identify common flaws and document the results of the analysis."
707,SA-11(2),"Developer Testing and Evaluation | Threat Modeling and Vulnerability Analyses",""Require the developer of the system, system component, or system service to perform threat modeling and vulnerability analyses during development and the subsequent testing and evaluation of the system, component, or service that: 
(a) Uses the following contextual information: [Assignment: organization-defined information concerning impact, environment of operations, known or assumed threats, and acceptable risk levels];
(b) Employs the following tools and methods: [Assignment: organization-defined tools and methods];
(c) Conducts the modeling and analyses at the following level of rigor: [Assignment: organization-defined breadth and depth of modeling and analyses]; and
(d) Produces evidence that meets the following acceptance criteria: [Assignment: organization-defined acceptance criteria].""
708,SA-11(3),"Developer Testing and Evaluation | Independent Verification of Assessment Plans and Evidence",""(a) Require an independent agent satisfying [Assignment: organization-defined independence criteria] to verify the correct implementation of the developer security and privacy assessment plans and the evidence produced during testing and evaluation; and
(b) Verify that the independent agent is provided with sufficient information to complete the verification process or granted the authority to obtain such information.""
709,SA-11(4),"Developer Testing and Evaluation | Manual Code Reviews","Require the developer of the system, system component, or system service to perform a manual code review of [Assignment: organization-defined specific code] using the following processes, procedures, and/or techniques: [Assignment: organization-defined processes, procedures, and/or techniques]."
710,SA-11(5),"Developer Testing and Evaluation | Penetration Testing",""Require the developer of the system, system component, or system service to perform penetration testing:
(a) At the following level of rigor: [Assignment: organization-defined breadth and depth of testing]; and
(b) Under the following constraints: [Assignment: organization-defined constraints].""
711,SA-11(6),"Developer Testing and Evaluation | Attack Surface Reviews","Require the developer of the system, system component, or system service to perform attack surface reviews."
712,SA-11(7),"Developer Testing and Evaluation | Verify Scope of Testing and Evaluation","Require the developer of the system, system component, or system service to verify that the scope of testing and evaluation provides complete coverage of the required controls at the following level of rigor: [Assignment: organization-defined breadth and depth of testing and evaluation]."
713,SA-11(8),"Developer Testing and Evaluation | Dynamic Code Analysis","Require the developer of the system, system component, or system service to employ dynamic code analysis tools to identify common flaws and document the results of the analysis."
714,SA-11(9),"Developer Testing and Evaluation | Interactive Application Security Testing","Require the developer of the system, system component, or system service to employ interactive application security testing tools to identify flaws and document the results."
715,SA-15,"Development Process, Standards, and Tools",""a. Require the developer of the system, system component, or system service to follow a documented development process that:
1. Explicitly addresses security and privacy requirements;
2. Identifies the standards and tools used in the development process;
3. Documents the specific tool options and tool configurations used in the development process; and
4. Documents, manages, and ensures the integrity of changes to the process and/or tools used in development; and
b. Review the development process, standards, tools, tool options, and tool configurations [Assignment: organization-defined frequency] to determine if the process, standards, tools, tool options and tool configurations selected and employed can satisfy the following security and privacy requirements: [Assignment: organization-defined security and privacy requirements].""
716,SA-15(1),"Development Process, Standards, and Tools | Quality Metrics",""Require the developer of the system, system component, or system service to:
(a) Define quality metrics at the beginning of the development process; and
(b) Provide evidence of meeting the quality metrics [Selection (one or more): [Assignment: organization-defined frequency]; [Assignment: organization-defined program review milestones]; upon delivery].""
717,SA-15(2),"Development Process, Standards, and Tools | Security and Privacy Tracking Tools","Require the developer of the system, system component, or system service to select and employ security and privacy tracking tools for use during the development process."
718,SA-15(3),"Development Process, Standards, and Tools | Criticality Analysis",""Require the developer of the system, system component, or system service to perform a criticality analysis:
(a) At the following decision points in the system development life cycle: [Assignment: organization-defined decision points in the system development life cycle]; and
(b) At the following level of rigor: [Assignment: organization-defined breadth and depth of criticality analysis].""
719,SA-15(5),"Development Process, Standards, and Tools | Attack Surface Reduction","Require the developer of the system, system component, or system service to reduce attack surfaces to [Assignment: organization-defined thresholds]."
720,SA-15(6),"Development Process, Standards, and Tools | Continuous Improvement","Require the developer of the system, system component, or system service to implement an explicit process to continuously improve the development process."
721,SA-15(7),"Development Process, Standards, and Tools | Automated Vulnerability Analysis",""Require the developer of the system, system component, or system service [Assignment: organization-defined frequency] to:
(a) Perform an automated vulnerability analysis using [Assignment: organization-defined tools];
(b) Determine the exploitation potential for discovered vulnerabilities;
(c) Determine potential risk mitigations for delivered vulnerabilities; and
(d) Deliver the outputs of the tools and results of the analysis to [Assignment: organization-defined personnel or roles].""
722,SA-15(8),"Development Process, Standards, and Tools | Reuse of Threat and Vulnerability Information","Require the developer of the system, system component, or system service to use threat modeling and vulnerability analyses from similar systems, components, or services to inform the current development process."
723,SA-15(10),"Development Process, Standards, and Tools | Incident Response Plan","Require the developer of the system, system component, or system service to provide, implement, and test an incident response plan."
724,SA-15(11),"Development Process, Standards, and Tools | Archive System or Component","Require the developer of the system or system component to archive the system or component to be released or delivered together with the corresponding evidence supporting the final security and privacy review."
725,SA-15(12),"Development Process, Standards, and Tools | Minimize Personally Identifiable Information","Require the developer of the system or system component to minimize the use of personally identifiable information in development and test environments."
726,SA-16,"Developer-provided Training","Require the developer of the system, system component, or system service to provide the following training on the correct use and operation of the implemented security and privacy functions, controls, and/or mechanisms: [Assignment: organization-defined training]."
727,SA-17,"Developer Security and Privacy Architecture and Design",""Require the developer of the system, system component, or system service to produce a design specification and security and privacy architecture that:
a. Is consistent with the organization’s security and privacy architecture that is an integral part the organization’s enterprise architecture;
b. Accurately and completely describes the required security and privacy functionality, and the allocation of controls among physical and logical components; and
c. Expresses how individual security and privacy functions, mechanisms, and services work together to provide required security and privacy capabilities and a unified approach to protection.""
728,SA-17(1),"Developer Security and Privacy Architecture and Design | Formal Policy Model",""Require the developer of the system, system component, or system service to:
(a) Produce, as an integral part of the development process, a formal policy model describing the [Assignment: organization-defined elements of organizational security and privacy policy] to be enforced; and
(b) Prove that the formal policy model is internally consistent and sufficient to enforce the defined elements of the organizational security and privacy policy when implemented.""
729,SA-17(2),"Developer Security and Privacy Architecture and Design | Security-relevant Components",""Require the developer of the system, system component, or system service to:
(a) Define security-relevant hardware, software, and firmware; and
(b) Provide a rationale that the definition for security-relevant hardware, software, and firmware is complete.""
730,SA-17(3),"Developer Security and Privacy Architecture and Design | Formal Correspondence",""Require the developer of the system, system component, or system service to:
(a) Produce, as an integral part of the development process, a formal top-level specification that specifies the interfaces to security-relevant hardware, software, and firmware in terms of exceptions, error messages, and effects;
(b) Show via proof to the extent feasible with additional informal demonstration as necessary, that the formal top-level specification is consistent with the formal policy model;
(c) Show via informal demonstration, that the formal top-level specification completely covers the interfaces to security-relevant hardware, software, and firmware;
(d) Show that the formal top-level specification is an accurate description of the implemented security-relevant hardware, software, and firmware; and
(e) Describe the security-relevant hardware, software, and firmware mechanisms not addressed in the formal top-level specification but strictly internal to the security-relevant hardware, software, and firmware.""
731,SA-17(4),"Developer Security and Privacy Architecture and Design | Informal Correspondence",""Require the developer of the system, system component, or system service to:
(a) Produce, as an integral part of the development process, an informal descriptive top-level specification that specifies the interfaces to security-relevant hardware, software, and firmware in terms of exceptions, error messages, and effects;
(b) Show via [Selection: informal demonstration; convincing argument with formal methods as feasible] that the descriptive top-level specification is consistent with the formal policy model;
(c) Show via informal demonstration, that the descriptive top-level specification completely covers the interfaces to security-relevant hardware, software, and firmware;
(d) Show that the descriptive top-level specification is an accurate description of the interfaces to security-relevant hardware, software, and firmware; and
(e) Describe the security-relevant hardware, software, and firmware mechanisms not addressed in the descriptive top-level specification but strictly internal to the security-relevant hardware, software, and firmware.""
732,SA-17(5),"Developer Security and Privacy Architecture and Design | Conceptually Simple Design",""Require the developer of the system, system component, or system service to:
(a) Design and structure the security-relevant hardware, software, and firmware to use a complete, conceptually simple protection mechanism with precisely defined semantics; and
(b) Internally structure the security-relevant hardware, software, and firmware with specific regard for this mechanism.""
733,SA-17(6),"Developer Security and Privacy Architecture and Design | Structure for Testing","Require the developer of the system, system component, or system service to structure security-relevant hardware, software, and firmware to facilitate testing."
734,SA-17(7),"Developer Security and Privacy Architecture and Design | Structure for Least Privilege","Require the developer of the system, system component, or system service to structure security-relevant hardware, software, and firmware to facilitate controlling access with least privilege."
735,SA-17(8),"Developer Security and Privacy Architecture and Design | Orchestration","Design [Assignment: organization-defined critical systems or system components] with coordinated behavior to implement the following capabilities: [Assignment: organization-defined capabilities, by system or component]."
736,SA-17(9),"Developer Security and Privacy Architecture and Design | Design Diversity","Use different designs for [Assignment: organization-defined critical systems or system components] to satisfy a common set of requirements or to provide equivalent functionality."
737,SA-20,"Customized Development of Critical Components","Reimplement or custom develop the following critical system components: [Assignment: organization-defined critical system components]."
738,SA-21,"Developer Screening",""Require that the developer of [Assignment: organization-defined system, system component, or system service]:
a. Has appropriate access authorizations as determined by assigned [Assignment: organization-defined official government duties]; and
b. Satisfies the following additional personnel screening criteria: [Assignment: organization-defined additional personnel screening criteria].""
739,SA-22,"Unsupported System Components",""a. Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or
b. Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].""
740,SA-23,Specialization,"Employ [Selection (one or more): design; modification; augmentation; reconfiguration] on [Assignment: organization-defined systems or system components] supporting mission essential services or functions to increase the trustworthiness in those systems or components."
741,SC-1,"Policy and Procedures",""a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;
b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and
c. Review and update the current system and communications protection:
1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].""
742,SC-2,"Separation of System and User Functionality","Separate user functionality, including user interface services, from system management functionality."
743,SC-2(1),"Separation of System and User Functionality | Interfaces for Non-privileged Users","Prevent the presentation of system management functionality at interfaces to non-privileged users."
744,SC-2(2),"Separation of System and User Functionality | Disassociability","Store state information from applications and software separately."
745,SC-3,"Security Function Isolation","Isolate security functions from nonsecurity functions."
746,SC-3(1),"Security Function Isolation | Hardware Separation","Employ hardware separation mechanisms to implement security function isolation."
747,SC-3(2),"Security Function Isolation | Access and Flow Control Functions","Isolate security functions enforcing access and information flow control from nonsecurity functions and from other security functions."
748,SC-3(3),"Security Function Isolation | Minimize Nonsecurity Functionality","Minimize the number of nonsecurity functions included within the isolation boundary containing security functions."
749,SC-3(4),"Security Function Isolation | Module Coupling and Cohesiveness","Implement security functions as largely independent modules that maximize internal cohesiveness within modules and minimize coupling between modules."
750,SC-3(5),"Security Function Isolation | Layered Structures","Implement security functions as a layered structure minimizing interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers."
751,SC-4,"Information in Shared System Resources","Prevent unauthorized and unintended information transfer via shared system resources."
752,SC-4(2),"Information in Shared System Resources | Multilevel or Periods Processing","Prevent unauthorized information transfer via shared resources in accordance with [Assignment: organization-defined procedures] when system processing explicitly switches between different information classification levels or security categories."
753,SC-5,"Denial-of-service Protection",""a. [Selection: Protect against; Limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events]; and
b. Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].""
754,SC-5(1),"Denial-of-service Protection | Restrict Ability to Attack Other Systems","Restrict the ability of individuals to launch the following denial-of-service attacks against other systems: [Assignment: organization-defined denial-of-service attacks]."
755,SC-5(2),"Denial-of-service Protection | Capacity, Bandwidth, and Redundancy","Manage capacity, bandwidth, or other redundancy to limit the effects of information flooding denial-of-service attacks."
756,SC-5(3),"Denial-of-service Protection | Detection and Monitoring",""(a) Employ the following monitoring tools to detect indicators of denial-of-service attacks against, or launched from, the system: [Assignment: organization-defined monitoring tools]; and
(b) Monitor the following system resources to determine if sufficient resources exist to prevent effective denial-of-service attacks: [Assignment: organization-defined system resources].""
757,SC-6,"Resource Availability","Protect the availability of resources by allocating [Assignment: organization-defined resources] by [Selection (one or more): priority; quota; [Assignment: organization-defined controls]]."
758,SC-7,"Boundary Protection",""a. Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;
b. Implement subnetworks for publicly accessible system components that are [Selection: physically; logically] separated from internal organizational networks; and
c. Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.""
759,SC-7(3),"Boundary Protection | Access Points","Limit the number of external network connections to the system."
760,SC-7(4),"Boundary Protection | External Telecommunications Services",""(a) Implement a managed interface for each external telecommunication service;
(b) Establish a traffic flow policy for each managed interface;
(c) Protect the confidentiality and integrity of the information being transmitted across each interface;
(d) Document each exception to the traffic flow policy with a supporting mission or business need and duration of that need;
(e) Review exceptions to the traffic flow policy [Assignment: organization-defined frequency] and remove exceptions that are no longer supported by an explicit mission or business need;
(f) Prevent unauthorized exchange of control plane traffic with external networks;
(g) Publish information to enable remote networks to detect unauthorized control plane traffic from internal networks; and
(h) Filter unauthorized control plane traffic from external networks.""
761,SC-7(5),"Boundary Protection | Deny by Default — Allow by Exception","Deny network communications traffic by default and allow network communications traffic by exception [Selection (one or more): at managed interfaces; for [Assignment: organization-defined systems]]."
762,SC-7(7),"Boundary Protection | Split Tunneling for Remote Devices","Prevent split tunneling for remote devices connecting to organizational systems unless the split tunnel is securely provisioned using [Assignment: organization-defined safeguards]."
763,SC-7(8),"Boundary Protection | Route Traffic to Authenticated Proxy Servers","Route [Assignment: organization-defined internal communications traffic] to [Assignment: organization-defined external networks] through authenticated proxy servers at managed interfaces."
764,SC-7(9),"Boundary Protection | Restrict Threatening Outgoing Communications Traffic",""(a) Detect and deny outgoing communications traffic posing a threat to external systems; and
(b) Audit the identity of internal users associated with denied communications.""
765,SC-7(10),"Boundary Protection | Prevent Exfiltration",""(a) Prevent the exfiltration of information; and
(b) Conduct exfiltration tests [Assignment: organization-defined frequency].""
766,SC-7(11),"Boundary Protection | Restrict Incoming Communications Traffic","Only allow incoming communications from [Assignment: organization-defined authorized sources] to be routed to [Assignment: organization-defined authorized destinations]."
767,SC-7(12),"Boundary Protection | Host-based Protection","Implement [Assignment: organization-defined host-based boundary protection mechanisms] at [Assignment: organization-defined system components]."
768,SC-7(13),"Boundary Protection | Isolation of Security Tools, Mechanisms, and Support Components","Isolate [Assignment: organization-defined information security tools, mechanisms, and support components] from other internal system components by implementing physically separate subnetworks with managed interfaces to other components of the system."
769,SC-7(14),"Boundary Protection | Protect Against Unauthorized Physical Connections","Protect against unauthorized physical connections at [Assignment: organization-defined managed interfaces]."
770,SC-7(15),"Boundary Protection | Networked Privileged Accesses","Route networked, privileged accesses through a dedicated, managed interface for purposes of access control and auditing."
771,SC-7(16),"Boundary Protection | Prevent Discovery of System Components","Prevent the discovery of specific system components that represent a managed interface."
772,SC-7(17),"Boundary Protection | Automated Enforcement of Protocol Formats","Enforce adherence to protocol formats."
773,SC-7(18),"Boundary Protection | Fail Secure","Prevent systems from entering unsecure states in the event of an operational failure of a boundary protection device."
774,SC-7(19),"Boundary Protection | Block Communication from Non-organizationally Configured Hosts","Block inbound and outbound communications traffic between [Assignment: organization-defined communication clients] that are independently configured by end users and external service providers."
775,SC-7(20),"Boundary Protection | Dynamic Isolation and Segregation","Provide the capability to dynamically isolate [Assignment: organization-defined system components] from other system components."
776,SC-7(21),"Boundary Protection | Isolation of System Components","Employ boundary protection mechanisms to isolate [Assignment: organization-defined system components] supporting [Assignment: organization-defined missions and/or business functions]."
777,SC-7(22),"Boundary Protection | Separate Subnets for Connecting to Different Security Domains","Implement separate network addresses to connect to systems in different security domains."
778,SC-7(23),"Boundary Protection | Disable Sender Feedback on Protocol Validation Failure","Disable feedback to senders on protocol format validation failure."
779,SC-7(24),"Boundary Protection | Personally Identifiable Information",""For systems that process personally identifiable information:
(a) Apply the following processing rules to data elements of personally identifiable information: [Assignment: organization-defined processing rules];
(b) Monitor for permitted processing at the external interfaces to the system and at key internal boundaries within the system;
(c) Document each processing exception; and
(d) Review and remove exceptions that are no longer supported.""
780,SC-7(25),"Boundary Protection | Unclassified National Security System Connections","Prohibit the direct connection of [Assignment: organization-defined unclassified national security system] to an external network without the use of [Assignment: organization-defined boundary protection device]."
781,SC-7(26),"Boundary Protection | Classified National Security System Connections","Prohibit the direct connection of a classified national security system to an external network without the use of [Assignment: organization-defined boundary protection device]."
782,SC-7(27),"Boundary Protection | Unclassified Non-national Security System Connections","Prohibit the direct connection of [Assignment: organization-defined unclassified non-national security system] to an external network without the use of [Assignment: organization-defined boundary protection device]."
783,SC-7(28),"Boundary Protection | Connections to Public Networks","Prohibit the direct connection of [Assignment: organization-defined system] to a public network."
784,SC-7(29),"Boundary Protection | Separate Subnets to Isolate Functions","Implement [Selection: physically; logically] separate subnetworks to isolate the following critical system components and functions: [Assignment: organization-defined critical system components and functions]."
785,SC-8,"Transmission Confidentiality and Integrity","Protect the [Selection (one or more): confidentiality; integrity] of transmitted information."
786,SC-8(1),"Transmission Confidentiality and Integrity | Cryptographic Protection","Implement cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission."
787,SC-8(2),"Transmission Confidentiality and Integrity | Pre- and Post-transmission Handling","Maintain the [Selection (one or more): confidentiality; integrity] of information during preparation for transmission and during reception."
788,SC-8(3),"Transmission Confidentiality and Integrity | Cryptographic Protection for Message Externals","Implement cryptographic mechanisms to protect message externals unless otherwise protected by [Assignment: organization-defined alternative physical controls]."
789,SC-8(4),"Transmission Confidentiality and Integrity | Conceal or Randomize Communications","Implement cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by [Assignment: organization-defined alternative physical controls]."
790,SC-8(5),"Transmission Confidentiality and Integrity | Protected Distribution System","Implement [Assignment: organization-defined protected distribution system] to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission."
791,SC-10,"Network Disconnect","Terminate the network connection associated with a communications session at the end of the session or after [Assignment: organization-defined time period] of inactivity."
792,SC-11,"Trusted Path",""a. Provide a [Selection: physically; logically] isolated trusted communications path for communications between the user and the trusted components of the system; and
b. Permit users to invoke the trusted communications path for communications between the user and the following security functions of the system, including at a minimum, authentication and re-authentication: [Assignment: organization-defined security functions].""
793,SC-11(1),"Trusted Path | Irrefutable Communications Path",""(a) Provide a trusted communications path that is irrefutably distinguishable from other communications paths; and
(b) Initiate the trusted communications path for communications between the [Assignment: organization-defined security functions] of the system and the user.""
794,SC-12,"Cryptographic Key Establishment and Management","Establish and manage cryptographic keys when cryptography is employed within the system in accordance with the following key management requirements: [Assignment: organization-defined requirements for key generation, distribution, storage, access, and destruction]."
795,SC-12(1),"Cryptographic Key Establishment and Management | Availability","Maintain availability of information in the event of the loss of cryptographic keys by users."
796,SC-12(2),"Cryptographic Key Establishment and Management | Symmetric Keys","Produce, control, and distribute symmetric cryptographic keys using [Selection: NIST FIPS-validated; NSA-approved] key management technology and processes."
797,SC-12(3),"Cryptographic Key Establishment and Management | Asymmetric Keys","Produce, control, and distribute asymmetric cryptographic keys using [Selection: NSA-approved key management technology and processes; prepositioned keying material; DoD-approved or DoD-issued Medium Assurance PKI certificates; DoD-approved or DoD-issued Medium Hardware Assurance PKI certificates and hardware security tokens that protect the user’s private key; certificates issued in accordance with organization-defined requirements]."
798,SC-12(6),"Cryptographic Key Establishment and Management | Physical Control of Keys","Maintain physical control of cryptographic keys when stored information is encrypted by external service providers."
799,SC-13,"Cryptographic Protection",""a. Determine the [Assignment: organization-defined cryptographic uses]; and
b. Implement the following types of cryptography required for each specified cryptographic use: [Assignment: organization-defined types of cryptography for each specified cryptographic use].""
800,SC-15,"Collaborative Computing Devices and Applications",""a. Prohibit remote activation of collaborative computing devices and applications with the following exceptions: [Assignment: organization-defined exceptions where remote activation is to be allowed]; and
b. Provide an explicit indication of use to users physically present at the devices.""
801,SC-15(1),"Collaborative Computing Devices and Applications | Physical or Logical Disconnect","Provide [Selection (one or more): physical; logical] disconnect of collaborative computing devices in a manner that supports ease of use."
802,SC-15(3),"Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas","Disable or remove collaborative computing devices and applications from [Assignment: organization-defined systems or system components] in [Assignment: organization-defined secure work areas]."
803,SC-15(4),"Collaborative Computing Devices and Applications | Explicitly Indicate Current Participants","Provide an explicit indication of current participants in [Assignment: organization-defined online meetings and teleconferences]."
804,SC-16,"Transmission of Security and Privacy Attributes","Associate [Assignment: organization-defined security and privacy attributes] with information exchanged between systems and between system components."
805,SC-16(1),"Transmission of Security and Privacy Attributes | Integrity Verification","Verify the integrity of transmitted security and privacy attributes."
806,SC-16(2),"Transmission of Security and Privacy Attributes | Anti-spoofing Mechanisms","Implement anti-spoofing mechanisms to prevent adversaries from falsifying the security attributes indicating the successful application of the security process."
807,SC-16(3),"Transmission of Security and Privacy Attributes | Cryptographic Binding","Implement [Assignment: organization-defined mechanisms or techniques] to bind security and privacy attributes to transmitted information."
808,SC-17,"Public Key Infrastructure Certificates",""a. Issue public key certificates under an [Assignment: organization-defined certificate policy] or obtain public key certificates from an approved service provider; and
b. Include only approved trust anchors in trust stores or certificate stores managed by the organization.""
809,SC-18,"Mobile Code",""a. Define acceptable and unacceptable mobile code and mobile code technologies; and
b. Authorize, monitor, and control the use of mobile code within the system.""
810,SC-18(1),"Mobile Code | Identify Unacceptable Code and Take Corrective Actions","Identify [Assignment: organization-defined unacceptable mobile code] and take [Assignment: organization-defined corrective actions]."
811,SC-18(2),"Mobile Code | Acquisition, Development, and Use","Verify that the acquisition, development, and use of mobile code to be deployed in the system meets [Assignment: organization-defined mobile code requirements]."
812,SC-18(3),"Mobile Code | Prevent Downloading and Execution","Prevent the download and execution of [Assignment: organization-defined unacceptable mobile code]."
813,SC-18(4),"Mobile Code | Prevent Automatic Execution","Prevent the automatic execution of mobile code in [Assignment: organization-defined software applications] and enforce [Assignment: organization-defined actions] prior to executing the code."
814,SC-18(5),"Mobile Code | Allow Execution Only in Confined Environments","Allow execution of permitted mobile code only in confined virtual machine environments."
815,SC-20,"Secure Name/address Resolution Service (authoritative Source)",""a. Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and
b. Provide the means to indicate the security status of child zones and (if the child supports secure resolution services) to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace.""
817,SC-20(2),"Secure Name/address Resolution Service (authoritative Source) | Data Origin and Integrity","Provide data origin and integrity protection artifacts for internal name/address resolution queries."
818,SC-21,"Secure Name/address Resolution Service (recursive or Caching Resolver)","Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources."
819,SC-22,"Architecture and Provisioning for Name/address Resolution Service","Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal and external role separation."
820,SC-23,"Session Authenticity","Protect the authenticity of communications sessions."
821,SC-23(1),"Session Authenticity | Invalidate Session Identifiers at Logout","Invalidate session identifiers upon user logout or other session termination."
822,SC-23(3),"Session Authenticity | Unique System-generated Session Identifiers","Generate a unique session identifier for each session with [Assignment: organization-defined randomness requirements] and recognize only session identifiers that are system-generated."
823,SC-23(5),"Session Authenticity | Allowed Certificate Authorities","Only allow the use of [Assignment: organization-defined certificate authorities] for verification of the establishment of protected sessions."
824,SC-24,"Fail in Known State","Fail to a [Assignment: organization-defined known system state] for the following failures on the indicated components while preserving [Assignment: organization-defined system state information] in failure: [Assignment: list of organization-defined types of system failures on organization-defined system components]."
825,SC-25,"Thin Nodes","Employ minimal functionality and information storage on the following system components: [Assignment: organization-defined system components]."
826,SC-26,Decoys,"Include components within organizational systems specifically designed to be the target of malicious attacks for detecting, deflecting, and analyzing such attacks."
827,SC-27,"Platform-independent Applications","Include within organizational systems the following platform independent applications: [Assignment: organization-defined platform-independent applications]."
828,SC-28,"Protection of Information at Rest","Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined information]."
829,SC-28(1),"Protection of Information at Rest | Cryptographic Protection","Implement cryptographic mechanisms to prevent unauthorized disclosure and modification of the following information at rest on [Assignment: organization-defined system components or media]: [Assignment: organization-defined information]."
830,SC-28(2),"Protection of Information at Rest | Offline Storage","Remove the following information from online storage and store offline in a secure location: [Assignment: organization-defined information]."
831,SC-28(3),"Protection of Information at Rest | Cryptographic Keys","Provide protected storage for cryptographic keys [Selection: [Assignment: organization-defined safeguards]; hardware-protected key store]."
832,SC-29,Heterogeneity,"Employ a diverse set of information technologies for the following system components in the implementation of the system: [Assignment: organization-defined system components]."
833,SC-29(1),"Heterogeneity | Virtualization Techniques","Employ virtualization techniques to support the deployment of a diversity of operating systems and applications that are changed [Assignment: organization-defined frequency]."
834,SC-30,"Concealment and Misdirection","Employ the following concealment and misdirection techniques for [Assignment: organization-defined systems] at [Assignment: organization-defined time periods] to confuse and mislead adversaries: [Assignment: organization-defined concealment and misdirection techniques]."
835,SC-30(2),"Concealment and Misdirection | Randomness","Employ [Assignment: organization-defined techniques] to introduce randomness into organizational operations and assets."
836,SC-30(3),"Concealment and Misdirection | Change Processing and Storage Locations","Change the location of [Assignment: organization-defined processing and/or storage] [Selection: [Assignment: organization-defined time frequency]; at random time intervals]]."
837,SC-30(4),"Concealment and Misdirection | Misleading Information","Employ realistic, but misleading information in [Assignment: organization-defined system components] about its security state or posture."
838,SC-30(5),"Concealment and Misdirection | Concealment of System Components","Employ the following techniques to hide or conceal [Assignment: organization-defined system components]: [Assignment: organization-defined techniques]."
839,SC-31,"Covert Channel Analysis",""a. Perform a covert channel analysis to identify those aspects of communications within the system that are potential avenues for covert [Selection (one or more): storage; timing] channels; and
b. Estimate the maximum bandwidth of those channels.""
840,SC-31(1),"Covert Channel Analysis | Test Covert Channels for Exploitability","Test a subset of the identified covert channels to determine the channels that are exploitable."
841,SC-31(2),"Covert Channel Analysis | Maximum Bandwidth","Reduce the maximum bandwidth for identified covert [Selection (one or more): storage; timing] channels to [Assignment: organization-defined values]."
842,SC-31(3),"Covert Channel Analysis | Measure Bandwidth in Operational Environments","Measure the bandwidth of [Assignment: organization-defined subset of identified covert channels] in the operational environment of the system."
843,SC-32,"System Partitioning","Partition the system into [Assignment: organization-defined system components] residing in separate [Selection: physical; logical] domains or environments based on [Assignment: organization-defined circumstances for physical or logical separation of components]."
844,SC-32(1),"System Partitioning | Separate Physical Domains for Privileged Functions","Partition privileged functions into separate physical domains."
845,SC-34,"Non-modifiable Executable Programs",""For [Assignment: organization-defined system components], load and execute:
a. The operating environment from hardware-enforced, read-only media; and
b. The following applications from hardware-enforced, read-only media: [Assignment: organization-defined applications].""
846,SC-34(1),"Non-modifiable Executable Programs | No Writable Storage","Employ [Assignment: organization-defined system components] with no writeable storage that is persistent across component restart or power on/off."
847,SC-34(2),"Non-modifiable Executable Programs | Integrity Protection on Read-only Media","Protect the integrity of information prior to storage on read-only media and control the media after such information has been recorded onto the media."
848,SC-35,"External Malicious Code Identification","Include system components that proactively seek to identify network-based malicious code or malicious websites."
